dataset,method,policy,f1_mean,f1_std,precision_mean,recall_mean,auc_mean,aucpr_mean,event_recall_mean,fpr_mean,false_alarm_events_per_10k_mean
HAI 22.04,Mahalanobis Distance,train_q99,0.03474557274153777,0.0,0.017885991230094624,0.60546875,0.6568036882161017,0.17332153866893396,0.75,0.39883783593804917,4.920452681646712
HAI 22.04,Mahalanobis Distance,train_q995,0.031027868667494077,0.0,0.015975368885790635,0.537109375,0.6568036882161017,0.17332153866893396,0.75,0.39689308559244596,2.5773799761006586
HAI 22.04,PCA Reconstruction,val_f1,0.022435897435897436,0.0,0.011973684210526315,0.177734375,0.6078471976118232,0.09027979177085851,0.5,0.17594132945945312,50.61037043979475
HAI 22.04,PCA Reconstruction,train_q99,0.033880053015241884,0.0,0.017307041299932296,0.798828125,0.6078471976118232,0.09027979177085851,1.0,0.5441317744089599,168.4669275287612
HAI 22.04,PCA Reconstruction,train_q995,0.0351368309281336,0.0,0.018013559657544417,0.7109375,0.6078471976118232,0.09027979177085851,0.75,0.4649359169615033,148.08219499051054
HAI 22.04,One-Class SVM,val_f1,0.011204481792717087,0.0,0.0057825267127592705,0.1796875,0.5033931079248576,0.011395633386191706,0.5,0.3706272405632747,0.46861454110921064
HAI 22.04,One-Class SVM,train_q99,0.03770130793007623,0.0002564684522881334,0.019382111518198557,0.6875,0.5033931079248576,0.011395633386191706,0.5,0.4172934386154002,12.183978068839474
HAI 22.04,One-Class SVM,train_q995,0.03843732647482089,0.00023893756356714412,0.01977137519822475,0.6875,0.5033931079248576,0.011395633386191706,0.5,0.4089130485718972,7.732139928301975
HAI 22.04,Isolation Forest,val_f1,0.16798127687772832,0.05084904771790996,0.09944735394361959,0.5794270833333334,0.7289229169351438,0.4583552361067364,0.25,0.06843334348664838,68.57392784898116
HAI 22.04,Isolation Forest,train_q99,0.4299240500425572,0.03674691768320005,0.40694548303419387,0.4622395833333333,0.7289229169351438,0.4583552361067364,0.25,0.008419441255262151,11.637261104212064
HAI 22.04,Isolation Forest,train_q995,0.4940028497458699,0.0479003726735986,0.565860125797604,0.4466145833333333,0.7289229169351438,0.4583552361067364,0.25,0.004506509837000242,5.389067222755922
HAI 22.04,Dense-Autoencoder,val_f1,0.023049515009146298,0.006111520827942027,0.012558386998458874,0.15299479166666666,0.60770549967978,0.07302748914856806,0.5,0.15368213875676562,41.159977194092335
HAI 22.04,Dense-Autoencoder,train_q99,0.023430885751550237,0.0,0.011854321502164802,1.0,0.60770549967978,0.07302748914856806,1.0,1.0,1.1715363527730265
HAI 22.04,Dense-Autoencoder,train_q995,0.023430885751550237,0.0,0.011854321502164802,1.0,0.60770549967978,0.07302748914856806,1.0,1.0,1.1715363527730265
HAI 22.04,CNN-Autoencoder,val_f1,0.024330495181493623,0.012048542498135832,0.013954638508373411,0.14583333333333334,0.5605594674903543,0.07682698779147158,0.5,0.17195029561767303,57.32717886236011
HAI 22.04,CNN-Autoencoder,train_q99,0.023456525609695873,4.440953700709912e-05,0.011867447686693774,1.0,0.5605594674903543,0.07682698779147158,1.0,0.9988831353436897,6.63870599904715
HAI 22.04,CNN-Autoencoder,train_q995,0.023612582868758978,0.00031470863859434035,0.011947458418295871,0.9993489583333334,0.5605594674903543,0.07682698779147158,1.0,0.9915961792294414,22.41539554972391
HAI 22.04,Transformer-Autoencoder,val_f1,0.02084861454734853,0.0026734176230208237,0.011165913031839544,0.16145833333333334,0.5686169985897632,0.074676048850198,0.5,0.17448081413966277,55.53082312144145
HAI 22.04,Transformer-Autoencoder,train_q99,0.023019176626865978,0.001713015168977102,0.011649942097797026,0.9557291666666666,0.5686169985897632,0.074676048850198,1.0,0.9725626186180558,24.21175129064255
HAI 22.04,Transformer-Autoencoder,train_q995,0.023608389362159282,0.002067643351970415,0.011958858432238088,0.9186197916666666,0.5686169985897632,0.074676048850198,1.0,0.9082062216390575,43.19064020556558
HAI 22.04,LSTM-Autoencoder,val_f1,0.025338884561633034,0.008846570912724004,0.014036615592948632,0.146484375,0.5809115175203261,0.07429458439293703,0.5,0.13639807243218757,77.94621867116537
HAI 22.04,LSTM-Autoencoder,train_q99,0.024444658787979228,0.0017535851028948931,0.012374095202855732,1.0,0.5809115175203261,0.07429458439293703,1.0,0.960776962909159,52.9534431453408
HAI 22.04,LSTM-Autoencoder,train_q995,0.024587120982535488,0.001970657193099259,0.012447245297530418,1.0,0.5809115175203261,0.07429458439293703,1.0,0.9558565102275124,46.158532299257246
